Closure,1,3,4,1
Closure,2,1,1,1
Closure,3,1,3,1
Closure,4,1,3,1
Closure,5,1,1,1
Closure,6,2,2,1
Closure,7,2,1,1
Closure,8,1,1,1
Closure,9,1,1,1
Closure,10,1,1,1
Closure,11,1,2,1
Closure,12,1,1,1
Closure,13,1,1,1
Closure,14,2,2,1
Closure,15,1,1,1
Closure,16,2,1,1
Closure,17,1,1,1
Closure,18,1,1,1
Closure,19,1,1,1
Closure,20,1,1,1
Closure,21,1,1,1
Closure,22,1,1,1
Closure,23,1,1,1
Closure,24,1,1,1
Closure,25,1,1,1
Closure,26,2,5,1
Closure,27,1,3,1
Closure,28,2,1,1
Closure,29,2,4,1
Closure,30,1,3,2
Closure,31,1,1,1
Closure,32,2,3,1
Closure,33,1,1,1
Closure,34,1,1,2
Closure,35,1,1,1
Closure,36,1,1,1
Closure,37,1,1,2
Closure,38,1,1,1
Closure,39,1,2,1
Closure,40,2,1,1
Closure,41,2,2,1
Closure,42,1,1,1
Closure,43,1,2,1
Closure,44,1,1,1
Closure,45,1,1,1
Closure,46,2,2,1
Closure,47,1,16,2
Closure,48,1,1,1
Closure,49,4,48,1
Closure,50,1,2,1
Closure,51,1,1,1
Closure,52,1,1,1
Closure,53,1,1,1
Closure,54,2,2,2
Closure,55,1,1,1
Closure,56,2,2,1
Closure,57,1,1,1
Closure,58,1,1,1
Closure,59,1,1,1
Closure,60,2,1,1
Closure,61,1,3,1
Closure,62,1,2,1
Closure,63,1,2,1
Closure,64,1,1,1
Closure,65,1,1,1
Closure,66,1,2,1
Closure,67,1,1,1
Closure,68,1,1,1
Closure,69,1,3,1
Closure,70,2,3,1
Closure,71,1,2,1
Closure,72,1,1,2
Closure,73,1,1,1
Closure,74,1,3,1
Closure,75,1,1,1
Closure,76,1,4,1
Closure,77,1,1,1
Closure,78,1,1,1
Closure,79,2,4,2
Closure,80,1,2,1
Closure,81,1,1,1
Closure,82,2,1,1
Closure,83,1,1,1
Closure,84,1,1,1
Closure,85,1,2,1
Closure,86,2,6,1
Closure,87,1,1,1
Closure,88,2,6,1
Closure,89,1,8,2
Closure,90,1,2,2
Closure,91,1,1,1
Closure,92,1,1,1
Closure,93,1,1,1
Closure,94,2,2,1
Closure,95,2,1,1
Closure,96,1,1,1
Closure,97,1,1,1
Closure,98,1,1,1
